author_username,ctime,rating_star,comment
terano07,2022-09-25 13:05:25,5,"FINALLY ROSÉ COME HOMEEEEEE!! But Jennie wants me to stan her tho 🤣 

Goor packaging and fast delivey thank you!"
s*****5,2022-10-02 18:23:54,5,Really happy my album arrived so fast. 🥰🥰.. There's no damage n everything is fine. Great service from seller👍
ctzbhl6067,2022-10-07 14:07:55,5,Very fast.. deliver as scheduled.. item received in good condition.. love it.. keep it up
sohhuileng,2022-11-25 22:36:20,5,Very good i am satisfied a lot good i love the quality and the album i will buy again
tan5000,2022-11-15 18:09:28,5,"Thank you seller, the goods have been received safely, the seller shipped quickly"
v*****g,2022-09-25 21:28:25,5,"Item received in excellent condition. Excellent seller, highly recommended!! AA+++"
j*****4,2023-01-27 20:49:35,5,"Best seller ever, very fast delivery paling penting trusted seller"
a*****l,2022-09-29 19:00:59,5,I LOVE ALL MY PULLS!! and the POB was a lot more that i expected and it safely arrived with a good condition.
nurfarahatiqahrokaman,2022-10-01 14:55:16,5,so happy i got my bias LISA and all the member... everything is good delivery is so fast I got the parcel really good everything is good
j*****4,2022-09-26 20:47:25,5,"Very first time purchase my K-pop album from K-pop merch.Unbelievable,it take such a short time to deliver and arrive to my home. Plus,the album comes with good condition without any crashing. Overall I would rate 8 out of 10!"
elainecsw,2023-04-29 23:52:55,5,"Album arrived safely and in great condition. All inclusions, photocards and POB intact as advertised. Fast delivery. Will buy again from this seller"
